Date,Open,High,Low,Close,Adj Close,Volume
2013-03-11,91.599998,91.620003,91.599998,91.620003,82.061569,126700
2013-03-12,91.599998,91.620003,91.599998,91.599998,82.043625,159950
2013-03-13,91.599998,91.620003,91.599998,91.620003,82.061569,161300
2013-03-14,91.620003,91.620003,91.599998,91.620003,82.061569,105100
2013-03-15,91.599998,91.620003,91.599998,91.620003,82.061569,176800
2013-03-18,91.620003,91.620003,91.599998,91.599998,82.043625,2238950
2013-03-19,91.599998,91.620003,91.599998,91.599998,82.043625,93550
2013-03-20,91.599998,91.620003,91.599998,91.599998,82.043625,140850
2013-03-21,91.599998,91.620003,91.599998,91.599998,82.043625,61650
2013-03-22,91.599998,91.620003,91.599998,91.620003,82.061569,83900
2013-03-25,91.599998,91.620003,91.599998,91.599998,82.043625,338550
2013-03-26,91.620003,91.620003,91.599998,91.620003,82.061569,119100
2013-03-27,91.599998,91.620003,91.599998,91.599998,82.043625,262850
2013-03-28,91.599998,91.620003,91.599998,91.620003,82.061569,97800
2013-04-01,91.620003,91.620003,91.599998,91.599998,82.043625,182100
2013-04-02,91.620003,91.620003,91.599998,91.620003,82.061569,139900
2013-04-03,91.620003,91.620003,91.599998,91.599998,82.043625,143350
2013-04-04,91.599998,91.620003,91.599998,91.599998,82.043625,91800
2013-04-05,91.599998,91.620003,91.599998,91.620003,82.061569,182250
2013-04-08,91.620003,91.620003,91.599998,91.620003,82.061569,113900
2013-04-09,91.620003,91.620003,91.599998,91.620003,82.061569,82300
2013-04-10,91.620003,91.620003,91.599998,91.620003,82.061569,74250
2013-04-11,91.620003,91.620003,91.599998,91.599998,82.043625,281900
2013-04-12,91.620003,91.620003,91.599998,91.620003,82.061569,91650
2013-04-15,91.599998,91.620003,91.599998,91.620003,82.061569,146050
2013-04-16,91.620003,91.620003,91.599998,91.620003,82.061569,90350
2013-04-17,91.599998,91.620003,91.599998,91.620003,82.061569,73450
2013-04-18,91.599998,91.620003,91.599998,91.599998,82.043625,247100
2013-04-19,91.620003,91.620003,91.599998,91.620003,82.061569,90300
2013-04-22,91.599998,91.620003,91.599998,91.620003,82.061569,57250
2013-04-23,91.599998,91.620003,91.599998,91.620003,82.061569,355500
2013-04-24,91.620003,91.620003,91.599998,91.620003,82.061569,159900
2013-04-25,91.599998,91.620003,91.599998,91.599998,82.043625,104750
2013-04-26,91.599998,91.620003,91.599998,91.599998,82.043625,81500
2013-04-29,91.620003,91.620003,91.599998,91.599998,82.043625,117850
2013-04-30,91.620003,91.620003,91.599998,91.599998,82.043625,184450
2013-05-01,91.599998,91.620003,91.599998,91.599998,82.043625,704750
2013-05-02,91.620003,91.620003,91.599998,91.620003,82.061569,71800
2013-05-03,91.620003,91.620003,91.599998,91.599998,82.043625,263600
2013-05-06,91.599998,91.620003,91.599998,91.599998,82.043625,117300
2013-05-07,91.599998,91.620003,91.599998,91.599998,82.043625,51250
2013-05-08,91.599998,91.620003,91.599998,91.620003,82.061569,186750
2013-05-09,91.599998,91.620003,91.599998,91.620003,82.061569,59800
2013-05-10,91.599998,91.620003,91.599998,91.599998,82.043625,77150
2013-05-13,91.620003,91.620003,91.599998,91.620003,82.061569,90700
2013-05-14,91.620003,91.620003,91.599998,91.599998,82.043625,441750
2013-05-15,91.599998,91.620003,91.599998,91.599998,82.043625,110150
2013-05-16,91.620003,91.620003,91.599998,91.599998,82.043625,163650
2013-05-17,91.599998,91.620003,91.599998,91.620003,82.061569,181600
2013-05-20,91.599998,91.620003,91.599998,91.599998,82.043625,239050
2013-05-21,91.620003,91.620003,91.599998,91.620003,82.061569,113100
2013-05-22,91.599998,91.620003,91.599998,91.620003,82.061569,121000
2013-05-23,91.620003,91.620003,91.599998,91.620003,82.061569,434350
2013-05-24,91.620003,91.620003,91.599998,91.620003,82.061569,55200
2013-05-28,91.599998,91.620003,91.599998,91.599998,82.043625,110300
2013-05-29,91.620003,91.620003,91.599998,91.620003,82.061569,230750
2013-05-30,91.599998,91.620003,91.599998,91.599998,82.043625,92450
2013-05-31,91.599998,91.620003,91.599998,91.620003,82.061569,1031050
2013-06-03,91.599998,91.620003,91.599998,91.620003,82.061569,453450
2013-06-04,91.599998,91.620003,91.599998,91.620003,82.061569,147200
2013-06-05,91.599998,91.620003,91.599998,91.620003,82.061569,123150
2013-06-06,91.620003,91.620003,91.580002,91.599998,82.043625,2841800
2013-06-07,91.580002,91.620003,91.580002,91.620003,82.061569,275000
